id,carat,cut,color,clarity,depth,table,x,y,z,price
112,5,Ideal,F,SI1,601,560,519,522,313,1431.60072
113,5,Fair,F,I1,684,540,494,482,335,1372.1894
114,8,Ideal,D,VS1,624,560,594,598,372,3496.04254
115,91,Good,E,I1,577,630,635,63,365,3022.95958
116,202,Premium,G,SI1,618,580,816,81,494,16720.97244
117,51,Ideal,G,VS2,624,560,511,514,32,1642.92052
118,4,Ideal,E,VS1,621,550,475,479,296,976.28326
119,41,Ideal,D,SI2,626,550,48,476,299,825.775
120,3,Very Good,I,SI1,633,590,43,423,27,691.3973
121,115,Ideal,E,VVS1,609,560,679,68,414,10774.75566
122,3,Ideal,H,SI1,621,560,43,432,267,691.3973
123,9,Very Good,J,VS1,624,580,615,619,385,3160.54893
124,139,Very Good,E,VS1,609,610,715,719,437,11410.03287
125,42,Very Good,G,VS1,606,580,482,495,296,976.28326
126,55,Ideal,F,SI2,611,560,525,533,324,1202.71406
127,71,Ideal,H,SI1,621,570,568,573,354,2440.89836
128,52,Ideal,F,IF,606,570,521,522,316,2255.21071
129,9,Very Good,G,VS2,627,590,609,616,384,4559.96228
130,59,Ideal,G,SI1,613,560,538,542,331,1431.60072
131,7,Ideal,J,VS2,616,560,565,571,35,2144.90333
132,31,Ideal,F,VS2,615,560,434,437,268,691.3973
133,3,Premium,G,VS1,596,590,434,438,26,691.3973
134,34,Premium,H,VS2,624,600,444,441,276,718.26742
135,71,Premium,D,SI1,607,580,595,578,356,2764.91177
136,32,Very Good,H,SI2,632,550,436,434,275,705.13312
137,72,Ideal,J,SI1,623,550,573,576,358,2330.22553
138,106,Premium,G,SI1,627,560,655,646,408,5142.36082
139,76,Very Good,F,VS2,620,580,58,586,362,3044.66466
140,3,Very Good,H,VS2,627,590,422,427,266,691.3973
141,15,Premium,J,VVS2,615,600,731,727,448,8088.79799
142,53,Very Good,D,SI2,629,540,513,517,324,1202.71406
143,211,Very Good,F,SI2,635,550,808,813,515,15734.98343
144,107,Ideal,J,VS2,617,580,658,655,405,4324.69132
145,32,Ideal,F,VS1,619,560,439,443,273,718.26742
146,57,Very Good,H,VS2,617,548,534,537,33,1642.92052
147,169,Very Good,E,VS2,627,580,752,76,474,15202.62013
148,111,Ideal,D,VVS2,623,560,659,664,412,12377.37659
149,92,Very Good,D,VS1,619,580,619,624,385,5007.70351
150,92,Very Good,F,SI1,622,550,619,626,387,4275.10369
151,101,Ideal,E,VVS2,600,550,66,656,395,9275.29247
152,34,Good,E,SI1,605,601,45,453,273,706.07214
153,78,Very Good,H,SI2,626,590,581,585,365,2292.07264
154,101,Very Good,F,SI2,619,570,642,635,395,4173.81774
155,10,Very Good,H,SI1,623,600,634,638,396,4922.80366
156,124,Premium,F,SI1,626,590,686,676,426,6380.5795
157,166,Premium,D,SI1,620,590,755,76,47,11879.53311
158,54,Premium,G,VVS1,607,560,53,525,32,1616.05691
159,158,Ideal,E,SI1,610,570,755,75,459,11662.01396
160,7,Ideal,E,SI1,623,570,567,57,354,2492.44789
161,10,Good,I,SI1,652,560,621,627,407,3957.59986
162,33,Ideal,J,SI2,624,540,443,445,277,718.26742
163,10,Very Good,D,SI2,594,600,648,656,387,4291.42208
164,7,Very Good,E,SI1,594,630,579,573,342,2546.28681
165,35,Ideal,E,VS2,620,560,449,451,279,732.94226
166,38,Premium,H,VS2,618,580,463,466,287,848.99927
167,102,Premium,F,SI2,599,590,656,659,394,4330.32575
168,71,Good,G,IF,578,620,582,595,34,2876.45123
169,176,Ideal,G,VS2,603,570,79,783,474,16066.45721
170,151,Ideal,I,VS1,616,560,737,743,456,10243.47652
171,127,Premium,F,VS1,603,580,706,704,425,10481.54654
172,71,Premium,H,SI2,627,570,571,564,356,2263.58087
173,155,Ideal,E,SI1,615,560,74,736,454,10909.55925
174,25,Very Good,F,VVS1,607,590,407,41,248,691.3973
175,42,Premium,G,SI1,627,590,475,472,297,976.28326
176,4,Very Good,F,VS1,615,590,471,476,291,976.28326
177,3,Ideal,E,VS2,618,550,432,433,268,691.3973
178,57,Premium,F,SI2,621,590,533,529,33,1444.73247
179,121,Premium,H,SI2,600,610,688,679,41,5105.12944
180,41,Premium,F,VVS2,603,580,483,479,29,976.28326
181,71,Very Good,I,SI1,626,590,567,57,356,2492.44789
182,7,Premium,G,VS1,626,600,558,566,352,2876.26646
183,29,Very Good,E,VVS2,609,570,429,432,262,691.3973
184,81,Premium,H,VS1,617,580,598,595,368,3598.59683
185,31,Very Good,E,SI1,587,600,445,448,262,718.26742
186,10,Good,E,SI1,639,550,628,634,403,4725.05599
187,12,Premium,I,VS1,628,560,68,674,425,5494.29006
188,107,Very Good,F,VS1,620,580,657,659,408,7679.75277
189,205,Premium,J,VS1,625,600,809,814,507,14221.78828
190,136,Ideal,H,SI1,615,560,712,716,439,7942.42664
191,81,Ideal,H,SI1,623,580,595,596,371,3084.96414
192,72,Premium,F,SI1,618,610,582,571,356,2546.28681
193,33,Ideal,H,VVS1,621,530,447,451,279,732.94226
194,102,Good,I,SI2,636,560,637,64,406,4256.89942
195,151,Very Good,J,SI1,629,590,725,729,457,7754.48351
196,9,Good,E,SI2,641,580,604,609,389,3405.33509
197,102,Premium,G,VS2,627,610,639,634,399,6221.13239
198,85,Fair,H,I1,712,540,577,565,407,1880.90354
199,104,Ideal,F,IF,618,550,649,656,403,10426.02192
200,41,Ideal,H,SI1,613,550,481,485,296,976.28326
201,4,Premium,D,VS2,625,590,466,472,293,957.496
202,38,Premium,G,VS2,597,620,468,466,279,957.496
203,101,Very Good,F,VS2,625,590,638,642,40,6522.38435
204,9,Very Good,G,VVS2,598,600,623,628,374,5444.35175
205,134,Premium,G,SI2,622,560,708,70,438,5679.94
206,46,Very Good,E,VS2,626,580,491,496,309,1015.40587
207,64,Very Good,D,VS2,622,580,549,554,343,2414.97519
208,122,Premium,G,VS2,609,570,694,689,421,8616.67127
209,93,Good,G,SI1,588,610,636,639,375,4954.81836
210,25,Ideal,H,VVS1,625,560,403,406,253,691.3973
211,104,Ideal,E,SI2,620,550,648,651,403,4329.75572
212,76,Ideal,I,SI1,616,540,586,592,363,2673.7872
213,54,Ideal,G,SI1,600,570,531,536,32,1539.71288
214,41,Ideal,F,VVS1,623,550,474,479,297,1003.60725
215,15,Good,G,VS2,588,640,743,74,436,12678.10799
216,41,Ideal,E,VVS2,623,560,475,478,297,976.28326
217,113,Premium,E,SI2,604,590,675,67,406,4541.13851
218,137,Premium,G,SI2,596,600,724,718,43,6543.14479
219,25,Very Good,E,VVS1,629,580,401,403,253,691.3973
220,55,Ideal,D,VS1,617,550,525,526,324,1755.11631
221,7,Ideal,E,SI1,614,570,571,575,352,2525.30065
222,104,Ideal,F,SI1,612,560,654,66,402,4927.11706
223,43,Premium,F,VVS1,615,560,49,486,30,853.09899
224,3,Ideal,H,IF,622,540,434,437,271,760.37612
225,32,Premium,H,VS2,607,600,439,441,267,718.26742
226,75,Premium,D,SI2,606,560,594,59,359,2487.38158
227,111,Ideal,G,SI1,619,570,663,666,411,5335.75772
228,38,Premium,G,VS2,601,610,466,463,279,957.496
229,29,Premium,E,SI1,584,600,434,432,253,691.3973
230,101,Good,G,SI2,637,580,635,631,403,3898.96508
231,106,Fair,G,SI2,653,620,633,625,411,3837.13867
232,127,Premium,G,SI1,614,590,694,698,427,7130.23158
233,33,Ideal,E,VS2,619,550,446,449,277,718.26742
234,36,Ideal,F,VS2,609,570,458,461,28,746.77578
235,8,Premium,J,VS2,627,610,589,584,368,2054.32027
236,33,Premium,G,SI1,611,590,445,442,271,718.26742
237,7,Ideal,F,SI1,626,560,566,569,355,2409.42281
238,124,Very Good,G,SI2,633,570,685,679,432,5458.40762
239,55,Very Good,E,VVS1,612,570,527,529,323,2059.3912
240,23,Very Good,E,VS2,605,580,392,395,238,691.3973
241,7,Ideal,H,VS1,620,590,568,571,353,3067.39654
242,254,Very Good,H,SI2,635,560,868,865,55,15214.47668
243,28,Ideal,F,VVS2,611,570,422,426,259,691.3973
244,52,Premium,F,I1,630,560,518,511,324,1779.00903
245,49,Premium,H,VS2,596,620,517,514,307,1607.60111
246,7,Fair,H,VS1,649,560,568,556,365,2859.80795
247,32,Ideal,D,VS2,622,560,439,436,272,718.26742
248,152,Premium,H,VS1,606,580,746,739,45,11400.84287
249,31,Premium,D,SI1,606,590,439,435,265,718.26742
250,52,Very Good,E,SI2,618,540,515,518,319,1202.71406
251,5,Very Good,F,VS2,626,540,51,513,32,1480.70425
252,39,Ideal,F,IF,619,570,468,469,29,957.496
253,37,Very Good,H,VS1,598,590,466,47,28,910.97672
254,32,Ideal,H,VS1,630,550,442,44,278,718.26742
255,32,Good,D,SI1,637,550,438,435,278,718.26742
256,151,Premium,G,VS1,622,580,729,735,455,13491.31826
257,4,Ideal,G,SI1,613,550,472,481,292,976.28326
258,31,Very Good,D,SI1,634,580,435,432,275,691.3973
259,155,Ideal,E,SI1,615,560,736,74,454,11662.01396
260,32,Very Good,I,SI1,599,610,444,447,267,718.26742
261,131,Very Good,H,VS2,614,590,696,701,429,7447.4652
262,15,Good,H,SI2,634,590,72,725,458,8576.75028
263,107,Very Good,H,VS2,613,580,659,662,405,5461.4193
264,56,Ideal,G,VS2,617,560,534,53,328,1700.2424
265,152,Premium,D,SI2,591,580,748,745,441,8762.58157
266,101,Ideal,I,I1,615,570,646,645,397,3161.97332
267,78,Ideal,G,SI2,617,540,593,597,367,2569.83624
268,3,Premium,G,VS2,616,600,428,433,265,691.3973
269,54,Premium,E,SI1,622,610,524,515,323,1431.60072
270,39,Ideal,G,VVS2,617,542,469,475,291,957.496
271,121,Premium,J,VS2,619,580,684,679,422,5184.91645
272,9,Ideal,I,SI1,616,550,62,622,382,3747.89803
273,32,Ideal,E,VVS1,613,570,442,445,272,718.26742
274,152,Premium,I,VS2,617,610,735,73,452,9592.27141
275,31,Premium,H,SI1,624,570,435,431,27,691.3973
276,41,Ideal,E,VVS2,615,550,479,483,296,976.28326
277,10,Fair,I,VS2,657,580,625,62,409,4554.71763
278,36,Ideal,G,SI2,623,540,457,461,286,746.77578
279,7,Very Good,H,SI1,577,600,585,59,339,2388.12398
280,39,Ideal,D,VS1,619,570,471,469,291,976.28326
281,153,Good,E,SI1,635,580,729,735,465,11807.3278
282,54,Ideal,H,IF,603,550,529,533,32,1837.03632
283,151,Premium,J,VS2,623,590,735,731,457,8076.24933
284,28,Good,E,SI1,626,600,412,415,259,691.3973
285,101,Good,F,IF,627,590,63,642,399,9842.20861
286,121,Very Good,F,VS1,623,580,676,685,424,9331.40318
287,75,Ideal,G,SI2,625,550,582,577,362,2263.58087
288,39,Very Good,F,SI1,600,550,476,479,286,976.28326
289,53,Ideal,D,SI2,619,550,524,519,323,1202.71406
290,44,Very Good,I,VS2,625,570,485,488,304,1015.40587
291,128,Premium,H,SI2,625,620,689,684,43,5344.74606
292,5,Good,F,VS2,636,580,502,505,32,1479.47454
293,138,Ideal,G,VVS1,618,560,715,712,441,11731.72274
294,31,Good,F,SI1,631,550,428,434,272,691.3973
295,121,Ideal,E,VS1,624,570,675,683,424,9396.16284
296,7,Very Good,D,SI1,623,580,569,573,356,2440.89836
297,52,Ideal,G,VS2,619,550,515,518,32,1642.92052
298,43,Ideal,E,SI1,623,570,478,482,299,976.28326
299,96,Fair,F,I1,629,660,629,607,391,2750.92058
300,164,Premium,H,SI1,593,610,768,764,454,11166.48349
301,56,Premium,H,VS1,601,580,54,535,323,1693.26602
302,73,Premium,E,SI1,596,610,592,585,351,2681.31598
303,9,Ideal,I,VS2,613,560,624,62,381,4607.58765
304,126,Premium,I,VS2,612,590,703,69,426,6000.39726
305,6,Ideal,G,VS2,611,550,546,548,334,1742.0527
306,37,Good,G,VS1,631,560,457,459,289,746.77578
307,29,Very Good,E,VS1,617,580,423,429,263,691.3973
308,42,Ideal,D,SI1,619,560,484,482,299,976.28326
309,151,Ideal,J,VS1,627,560,73,735,459,8353.15773
310,56,Very Good,G,VS2,626,580,522,532,331,1700.2424
311,10,Premium,D,SI2,608,600,645,641,391,4222.16236
312,201,Premium,I,SI1,613,600,809,805,495,15600.07634
313,51,Good,E,SI1,639,560,507,511,325,1431.60072
314,101,Ideal,G,VS2,614,580,647,644,397,6257.43821
315,138,Good,J,SI2,637,580,706,701,448,6105.95865
316,4,Very Good,D,VS2,591,570,481,487,286,976.28326
317,156,Ideal,J,SI1,618,570,744,739,458,7842.75033
318,131,Very Good,I,SI1,626,590,697,686,433,5839.54418
319,74,Ideal,H,VS1,616,550,579,583,358,3376.01853
320,51,Ideal,D,VS2,615,570,511,514,315,1700.2424
321,84,Premium,E,VS2,624,600,604,598,375,3608.31197
322,41,Premium,F,VS2,616,590,477,474,293,976.28326
323,31,Ideal,G,VS1,613,564,436,439,269,705.13312
324,32,Ideal,D,SI1,608,570,441,444,269,718.26742
325,121,Fair,J,SI2,646,590,674,664,432,4700.27903
326,31,Ideal,D,VS2,615,560,437,441,27,718.26742
327,36,Ideal,D,SI1,627,570,459,454,286,732.94226
328,7,Good,G,VVS1,585,620,58,582,34,2677.56668
329,71,Ideal,D,VS2,604,570,577,582,35,3015.52436
330,202,Ideal,I,SI1,624,560,807,811,505,15600.07634
331,7,Ideal,D,SI1,614,540,571,575,352,2525.30065
332,54,Ideal,F,VVS2,614,560,527,529,324,2118.65785
333,3,Ideal,H,VVS1,630,560,427,424,268,691.3973
334,124,Premium,D,SI1,593,600,705,701,416,7153.89068
335,9,Very Good,G,SI1,613,600,614,617,377,4214.15602
336,116,Ideal,G,SI2,619,560,673,677,418,4899.13349
337,3,Very Good,I,SI1,605,620,433,437,263,691.3973
338,31,Ideal,E,VS2,616,560,44,437,27,691.3973
339,151,Very Good,H,VS2,619,570,732,736,454,11201.90447
340,33,Ideal,G,VS1,615,560,445,448,274,718.26742
341,3,Premium,H,SI2,619,600,427,429,265,691.3973
342,33,Ideal,I,IF,617,550,445,449,276,787.24624
343,53,Premium,F,VS1,594,580,532,528,315,1755.11631
344,41,Very Good,D,SI1,629,580,47,475,297,825.775
345,73,Ideal,E,VS2,615,560,579,582,357,3070.50922
346,54,Ideal,G,VVS2,614,550,522,53,323,2118.65785
347,101,Good,G,SI2,636,580,631,637,403,4206.44981
348,105,Very Good,G,VS1,623,560,645,651,404,6931.47692
349,71,Ideal,I,VS2,620,540,573,577,356,2454.0711
350,32,Ideal,E,SI1,618,550,445,442,274,718.26742
351,53,Ideal,D,VS2,623,560,514,517,321,1700.2424
352,10,Good,E,VS2,582,600,652,654,38,6666.94309
353,44,Ideal,E,VVS1,599,570,493,497,296,1003.60725
354,3,Very Good,F,VVS1,626,560,427,429,268,691.3973
355,153,Ideal,G,VS1,606,540,749,747,453,14239.8919
356,106,Ideal,F,VS2,611,565,657,66,403,6948.22094
357,42,Ideal,I,VS1,615,560,483,486,298,976.28326
358,31,Premium,H,IF,610,580,434,438,266,760.37612
359,203,Premium,I,VS2,605,620,822,817,496,16049.05362
360,77,Very Good,G,SI1,630,590,582,584,367,2683.12322
361,132,Very Good,H,SI1,628,560,694,70,438,6458.12238
362,67,Very Good,F,VS2,632,600,555,55,349,2558.59072
363,93,Very Good,J,VS2,633,610,619,614,39,3097.63433
364,201,Ideal,I,SI1,624,540,804,796,50,15600.07634
365,31,Good,I,VS1,639,550,428,43,274,691.3973
366,102,Premium,D,SI1,623,590,638,642,399,5720.24129
367,51,Ideal,D,VS2,627,550,512,509,32,1642.92052
368,71,Ideal,D,VS2,610,560,576,581,353,3144.72695
369,106,Very Good,E,IF,624,550,65,654,407,10768.34558
370,112,Ideal,D,VS2,620,550,663,666,412,7463.78806
371,59,Very Good,D,VVS2,606,590,544,549,331,2512.9652
372,33,Premium,F,VVS2,625,590,447,44,277,718.26742
373,52,Ideal,F,IF,622,550,514,518,321,2255.21071
374,107,Ideal,E,VVS2,623,560,651,661,409,10018.36758
375,124,Good,G,VS1,602,630,696,699,42,9880.47872
376,7,Very Good,E,VS2,602,570,577,582,349,2967.5809
377,55,Ideal,G,VS1,609,550,527,531,322,1755.11631
378,91,Premium,H,VS2,610,590,632,627,384,4869.40946
379,121,Very Good,H,SI1,628,560,68,683,428,6174.66064
380,5,Fair,F,VS1,650,550,501,496,324,1518.59755
381,61,Ideal,F,VVS2,618,550,543,547,337,2118.65785
382,41,Ideal,D,SI1,607,550,483,486,294,976.28326
383,53,Very Good,I,VS1,610,570,522,525,319,1755.11631
384,103,Premium,E,VVS2,597,560,664,656,394,9706.99863
385,55,Ideal,D,VS1,614,570,526,529,324,1755.11631
386,106,Fair,J,SI2,610,660,654,635,393,4173.81774
387,151,Very Good,E,VS2,627,590,72,732,455,11942.65018
388,32,Ideal,D,VS2,615,560,441,444,272,718.26742
389,27,Ideal,E,VVS2,605,570,418,425,255,691.3973
390,57,Premium,E,SI1,622,550,536,531,332,1431.60072
391,93,Premium,G,SI2,608,590,635,628,384,3837.13867
392,51,Good,G,VS2,639,560,507,51,325,1700.2424
393,33,Ideal,E,VS2,610,570,443,446,271,718.26742
394,151,Ideal,G,VS1,606,570,738,748,45,14025.00627
395,153,Very Good,H,SI2,614,600,736,743,454,8208.75866
396,3,Ideal,E,VS1,608,570,436,433,264,705.13312
397,10,Ideal,E,SI1,629,560,633,638,40,4962.85846
398,74,Ideal,I,IF,621,539,579,581,36,2573.20758
399,5,Premium,G,VS1,622,590,509,504,315,1755.11631
400,71,Ideal,E,VS2,595,570,586,583,348,3142.35336
401,41,Ideal,F,VS2,617,540,479,481,296,976.28326
402,157,Premium,H,VS1,605,610,76,751,457,12867.20043
403,101,Good,F,SI1,636,580,636,628,402,4723.12618
404,9,Very Good,E,VS2,591,620,624,628,37,4867.12187
405,43,Premium,F,SI2,583,620,497,491,288,1037.52446
406,32,Ideal,E,IF,626,550,441,438,275,787.24624
407,101,Ideal,G,SI2,615,570,642,646,396,4260.496
408,153,Premium,D,SI2,607,600,745,741,451,9254.17687
409,53,Ideal,E,VVS2,620,580,516,52,321,2118.65785
410,20,Fair,G,SI2,651,570,784,778,509,11772.22287
411,12,Very Good,D,SI2,629,590,67,675,423,4599.13538
412,61,Ideal,G,VS2,614,557,543,553,337,1787.62786
413,31,Premium,E,VS2,610,580,439,437,267,718.26742
414,101,Ideal,I,VS2,599,610,649,653,39,4721.4615
415,42,Good,F,SI1,634,560,475,478,302,976.28326
416,106,Ideal,G,SI2,610,570,656,661,402,4557.93195
417,76,Ideal,E,VS2,615,560,592,589,363,3210.72204
418,51,Ideal,H,VVS2,601,570,519,522,312,2118.65785
419,10,Good,G,VVS2,616,600,634,638,392,7463.36849
420,9,Ideal,F,SI2,624,570,623,615,386,3574.87013
421,7,Very Good,H,SI2,634,550,559,564,356,2273.19767
422,101,Ideal,E,SI1,622,570,641,635,397,4923.19246
423,72,Premium,G,SI1,606,620,581,577,351,2569.82892
424,157,Ideal,G,VS1,619,550,753,747,464,14542.17404
425,7,Good,F,SI1,587,610,577,581,34,2492.73913
426,118,Ideal,I,VS1,626,550,679,673,424,5973.29729
427,9,Very Good,I,VS1,622,580,613,618,383,3683.17461
428,4,Ideal,G,VVS1,620,550,474,478,295,1003.60725
429,73,Ideal,D,SI2,624,560,574,577,359,2263.58087
430,115,Very Good,D,SI2,618,610,662,669,411,4583.24676
431,5,Ideal,D,SI2,610,570,515,512,313,1202.71406
432,71,Ideal,H,SI1,608,570,577,581,352,2624.35424
433,10,Very Good,F,VS1,621,600,633,642,396,7326.22245
434,16,Premium,J,VS1,613,590,752,749,46,7998.42754
435,204,Very Good,I,SI2,609,570,814,819,497,14573.51533
436,33,Premium,G,VVS2,606,580,45,447,272,691.3973
437,41,Ideal,G,VVS1,618,550,478,476,295,1003.60725
438,4,Ideal,F,VS2,620,590,477,471,295,976.28326
439,10,Good,D,SI1,641,570,632,629,404,4968.66298
440,32,Premium,H,VS2,614,600,441,439,27,718.26742
441,62,Fair,E,SI2,582,600,57,551,326,1458.6922
442,201,Good,I,VS2,643,600,791,786,507,15722.04693
443,44,Good,E,VS2,622,620,479,485,30,976.28326
444,42,Ideal,G,SI1,629,540,481,479,302,976.28326
445,34,Very Good,H,VS2,633,560,445,439,28,718.26742
446,9,Good,E,SI2,658,600,594,597,392,3025.08553
447,7,Good,E,VS2,630,610,551,564,351,2707.77093
448,36,Ideal,G,VVS1,600,560,466,469,281,984.81999
449,3,Ideal,D,VS2,610,550,436,433,265,705.13312
450,151,Good,G,VS1,640,570,731,72,464,13667.5946
451,124,Premium,I,SI1,629,600,68,674,426,5283.79869
452,15,Good,E,SI2,645,580,706,711,457,6493.43666
453,10,Good,G,VS2,637,590,638,633,405,6208.82348
454,32,Ideal,I,VVS2,622,545,438,442,274,718.26742
455,35,Very Good,H,VS1,608,630,457,454,277,732.94226
456,22,Ideal,I,SI2,622,560,834,829,518,14994.33745
457,34,Ideal,F,SI2,601,560,455,454,273,732.94226
458,31,Ideal,H,VS1,617,570,434,438,269,691.3973
459,31,Ideal,E,VS1,619,544,433,437,269,691.3973
460,51,Ideal,D,IF,620,560,514,518,32,2073.84629
