id,carat,cut,color,clarity,depth,table,x,y,z,price
82,112,Ideal,H,VS1,619,570,666,669,413,6375.43584
83,111,Very Good,D,VVS1,625,580,667,66,415,10845.54733
84,133,Premium,I,VS2,625,610,702,699,438,6328.56729
85,16,Very Good,H,VS1,612,586,748,763,462,12075.64907
86,51,Good,G,VVS2,576,560,527,535,306,1671.58355
87,15,Ideal,G,SI2,614,560,734,738,452,9850.86031
88,4,Ideal,G,VVS1,626,570,466,473,294,1274.2223
89,5,Premium,D,VS1,628,580,505,501,316,1644.79775
90,202,Ideal,I,SI2,617,570,812,805,499,13899.24114
91,112,Premium,H,SI1,620,560,668,661,412,5435.65699
92,53,Premium,G,VS1,630,580,517,515,325,1562.0865
93,39,Very Good,J,VVS1,625,580,461,467,29,579.88243
94,66,Premium,D,VS1,610,580,567,557,343,2612.8271
95,4,Premium,D,VS2,591,570,487,481,286,1093.98653
96,45,Good,D,VS2,637,610,481,473,304,1196.60152
97,9,Very Good,E,SI2,632,610,606,599,381,3195.17711
98,42,Ideal,E,VS2,623,550,483,477,299,943.64666
99,153,Premium,J,VVS1,616,590,739,735,454,9270.81031
100,35,Ideal,G,VS1,626,540,452,456,284,762.18867
101,72,Premium,J,SI1,621,590,575,571,356,1857.95393
102,9,Premium,I,VS2,624,600,616,606,381,3204.85433
103,47,Fair,E,SI1,652,590,475,482,312,770.90537
104,125,Ideal,D,SI2,619,544,69,693,428,7200.91531
105,31,Ideal,G,VVS1,619,550,438,441,272,852.40058
106,171,Good,G,SI2,637,570,754,75,479,9752.51916
107,31,Ideal,E,IF,622,530,435,44,272,908.42945
108,3,Premium,D,SI1,620,600,429,426,265,656.11887
109,9,Premium,D,SI1,594,620,624,619,369,4266.55747
110,94,Fair,H,SI1,684,530,605,597,411,2820.81247
111,102,Very Good,E,VS2,629,560,637,647,404,6947.95071
112,5,Ideal,F,SI1,601,560,519,522,313,1408.92561
113,5,Fair,F,I1,684,540,494,482,335,218.97939
114,8,Ideal,D,VS1,624,560,594,598,372,4529.71331
115,91,Good,E,I1,577,630,635,63,365,2393.51539
116,202,Premium,G,SI1,618,580,816,81,494,15319.09367
117,51,Ideal,G,VS2,624,560,511,514,32,1436.38849
118,4,Ideal,E,VS1,621,550,475,479,296,1059.21342
119,41,Ideal,D,SI2,626,550,48,476,299,760.11036
120,3,Very Good,I,SI1,633,590,43,423,27,190.66375
121,115,Ideal,E,VVS1,609,560,679,68,414,11545.34782
122,3,Ideal,H,SI1,621,560,43,432,267,491.79733
123,9,Very Good,J,VS1,624,580,615,619,385,3285.48899
124,139,Very Good,E,VS1,609,610,715,719,437,12036.79588
125,42,Very Good,G,VS1,606,580,482,495,296,990.44793
126,55,Ideal,F,SI2,611,560,525,533,324,1273.65886
127,71,Ideal,H,SI1,621,570,568,573,354,2389.5568
128,52,Ideal,F,IF,606,570,521,522,316,2344.19456
129,9,Very Good,G,VS2,627,590,609,616,384,4041.55883
130,59,Ideal,G,SI1,613,560,538,542,331,1642.35236
131,7,Ideal,J,VS2,616,560,565,571,35,1790.32198
132,31,Ideal,F,VS2,615,560,434,437,268,601.52856
133,3,Premium,G,VS1,596,590,434,438,26,526.49318
134,34,Premium,H,VS2,624,600,444,441,276,605.66474
135,71,Premium,D,SI1,607,580,595,578,356,2666.34022
136,32,Very Good,H,SI2,632,550,436,434,275,371.13012
137,72,Ideal,J,SI1,623,550,573,576,358,1845.05755
138,106,Premium,G,SI1,627,560,655,646,408,5073.35771
139,76,Very Good,F,VS2,620,580,58,586,362,2993.81391
140,3,Very Good,H,VS2,627,590,422,427,266,469.62177
141,15,Premium,J,VVS2,615,600,731,727,448,8907.87437
142,53,Very Good,D,SI2,629,540,513,517,324,1119.63927
143,211,Very Good,F,SI2,635,550,808,813,515,15535.38278
144,107,Ideal,J,VS2,617,580,658,655,405,4352.15157
145,32,Ideal,F,VS1,619,560,439,443,273,706.89228
146,57,Very Good,H,VS2,617,548,534,537,33,1597.76088
147,169,Very Good,E,VS2,627,580,752,76,474,15558.28369
148,111,Ideal,D,VVS2,623,560,659,664,412,11760.00176
149,92,Very Good,D,VS1,619,580,619,624,385,5847.37932
150,92,Very Good,F,SI1,622,550,619,626,387,4009.1397
151,101,Ideal,E,VVS2,600,550,66,656,395,9694.08485
152,34,Good,E,SI1,605,601,45,453,273,589.65017
153,78,Very Good,H,SI2,626,590,581,585,365,2232.76707
154,101,Very Good,F,SI2,619,570,642,635,395,4199.22308
155,10,Very Good,H,SI1,623,600,634,638,396,4946.4161
156,124,Premium,F,SI1,626,590,686,676,426,6462.43233
157,166,Premium,D,SI1,620,590,755,76,47,11973.25589
158,54,Premium,G,VVS1,607,560,53,525,32,1738.92997
159,158,Ideal,E,SI1,610,570,755,75,459,12035.36184
160,7,Ideal,E,SI1,623,570,567,57,354,2469.91039
161,10,Good,I,SI1,652,560,621,627,407,3508.70581
162,33,Ideal,J,SI2,624,540,443,445,277,237.36279
163,10,Very Good,D,SI2,594,600,648,656,387,4422.96173
164,7,Very Good,E,SI1,594,630,579,573,342,2491.47782
165,35,Ideal,E,VS2,620,560,449,451,279,677.53248
166,38,Premium,H,VS2,618,580,463,466,287,856.36226
167,102,Premium,F,SI2,599,590,656,659,394,4355.32883
168,71,Good,G,IF,578,620,582,595,34,3116.03712
169,176,Ideal,G,VS2,603,570,79,783,474,16288.93603
170,151,Ideal,I,VS1,616,560,737,743,456,10831.84739
171,127,Premium,F,VS1,603,580,706,704,425,10323.99868
172,71,Premium,H,SI2,627,570,571,564,356,1971.95875
173,155,Ideal,E,SI1,615,560,74,736,454,12020.04005
174,25,Very Good,F,VVS1,607,590,407,41,248,907.39267
175,42,Premium,G,SI1,627,590,475,472,297,685.10732
176,4,Very Good,F,VS1,615,590,471,476,291,864.50434
177,3,Ideal,E,VS2,618,550,432,433,268,551.31597
178,57,Premium,F,SI2,621,590,533,529,33,1599.87414
179,121,Premium,H,SI2,600,610,688,679,41,4622.39979
180,41,Premium,F,VVS2,603,580,483,479,29,865.28175
181,71,Very Good,I,SI1,626,590,567,57,356,1935.16866
182,7,Premium,G,VS1,626,600,558,566,352,2446.35927
183,29,Very Good,E,VVS2,609,570,429,432,262,518.73814
184,81,Premium,H,VS1,617,580,598,595,368,2993.91221
185,31,Very Good,E,SI1,587,600,445,448,262,464.85819
186,10,Good,E,SI1,639,550,628,634,403,4626.52569
187,12,Premium,I,VS1,628,560,68,674,425,6114.49034
188,107,Very Good,F,VS1,620,580,657,659,408,7151.50557
189,205,Premium,J,VS1,625,600,809,814,507,14608.99718
190,136,Ideal,H,SI1,615,560,712,716,439,7610.8615
191,81,Ideal,H,SI1,623,580,595,596,371,2807.32649
192,72,Premium,F,SI1,618,610,582,571,356,2374.59137
193,33,Ideal,H,VVS1,621,530,447,451,279,907.69317
194,102,Good,I,SI2,636,560,637,64,406,3997.17393
195,151,Very Good,J,SI1,629,590,725,729,457,7517.40612
196,9,Good,E,SI2,641,580,604,609,389,3305.72265
197,102,Premium,G,VS2,627,610,639,634,399,5912.72993
198,85,Fair,H,I1,712,540,577,565,407,663.02138
199,104,Ideal,F,IF,618,550,649,656,403,12128.15797
200,41,Ideal,H,SI1,613,550,481,485,296,830.47464
201,4,Premium,D,VS2,625,590,466,472,293,967.17472
202,38,Premium,G,VS2,597,620,468,466,279,744.03755
203,101,Very Good,F,VS2,625,590,638,642,40,6393.46167
204,9,Very Good,G,VVS2,598,600,623,628,374,5032.77188
205,134,Premium,G,SI2,622,560,708,70,438,5279.59332
206,46,Very Good,E,VS2,626,580,491,496,309,1044.61483
207,64,Very Good,D,VS2,622,580,549,554,343,2353.74928
208,122,Premium,G,VS2,609,570,694,689,421,8079.08438
209,93,Good,G,SI1,588,610,636,639,375,4175.64558
210,25,Ideal,H,VVS1,625,560,403,406,253,993.15649
211,104,Ideal,E,SI2,620,550,648,651,403,5111.05667
212,76,Ideal,I,SI1,616,540,586,592,363,2471.31994
213,54,Ideal,G,SI1,600,570,531,536,32,1575.72248
214,41,Ideal,F,VVS1,623,550,474,479,297,1214.13856
215,15,Good,G,VS2,588,640,743,74,436,10651.10167
216,41,Ideal,E,VVS2,623,560,475,478,297,1123.49563
217,113,Premium,E,SI2,604,590,675,67,406,4629.89546
218,137,Premium,G,SI2,596,600,724,718,43,6504.15312
219,25,Very Good,E,VVS1,629,580,401,403,253,834.71067
220,55,Ideal,D,VS1,617,550,525,526,324,1934.5182
221,7,Ideal,E,SI1,614,570,571,575,352,2848.15909
222,104,Ideal,F,SI1,612,560,654,66,402,5694.06558
223,43,Premium,F,VVS1,615,560,49,486,30,1101.49623
224,3,Ideal,H,IF,622,540,434,437,271,785.95352
225,32,Premium,H,VS2,607,600,439,441,267,553.63559
226,75,Premium,D,SI2,606,560,594,59,359,2399.73059
227,111,Ideal,G,SI1,619,570,663,666,411,5435.19102
228,38,Premium,G,VS2,601,610,466,463,279,770.23423
229,29,Premium,E,SI1,584,600,434,432,253,401.69526
230,101,Good,G,SI2,637,580,635,631,403,4052.54319
231,106,Fair,G,SI2,653,620,633,625,411,3537.88558
232,127,Premium,G,SI1,614,590,694,698,427,6661.13328
233,33,Ideal,E,VS2,619,550,446,449,277,692.02361
234,36,Ideal,F,VS2,609,570,458,461,28,581.06138
235,8,Premium,J,VS2,627,610,589,584,368,2220.6179
236,33,Premium,G,SI1,611,590,445,442,271,548.78762
237,7,Ideal,F,SI1,626,560,566,569,355,2434.99059
238,124,Very Good,G,SI2,633,570,685,679,432,5002.49394
239,55,Very Good,E,VVS1,612,570,527,529,323,1989.77181
240,23,Very Good,E,VS2,605,580,392,395,238,367.52981
241,7,Ideal,H,VS1,620,590,568,571,353,2693.16905
242,254,Very Good,H,SI2,635,560,868,865,55,15191.84062
243,28,Ideal,F,VVS2,611,570,422,426,259,700.54322
244,52,Premium,F,I1,630,560,518,511,324,766.44087
245,49,Premium,H,VS2,596,620,517,514,307,1275.44048
246,7,Fair,H,VS1,649,560,568,556,365,2259.75447
247,32,Ideal,D,VS2,622,560,439,436,272,739.62654
248,152,Premium,H,VS1,606,580,746,739,45,11391.87122
249,31,Premium,D,SI1,606,590,439,435,265,654.51865
250,52,Very Good,E,SI2,618,540,515,518,319,1100.6368
251,5,Very Good,F,VS2,626,540,51,513,32,1337.93727
252,39,Ideal,F,IF,619,570,468,469,29,1338.00003
253,37,Very Good,H,VS1,598,590,466,47,28,687.66039
254,32,Ideal,H,VS1,630,550,442,44,278,659.89535
255,32,Good,D,SI1,637,550,438,435,278,578.42842
256,151,Premium,G,VS1,622,580,729,735,455,13034.48792
257,4,Ideal,G,SI1,613,550,472,481,292,803.83933
258,31,Very Good,D,SI1,634,580,435,432,275,605.81213
259,155,Ideal,E,SI1,615,560,736,74,454,12050.51817
260,32,Very Good,I,SI1,599,610,444,447,267,393.64851
261,131,Very Good,H,VS2,614,590,696,701,429,7638.64961
262,15,Good,H,SI2,634,590,72,725,458,8843.70389
263,107,Very Good,H,VS2,613,580,659,662,405,5209.55997
264,56,Ideal,G,VS2,617,560,534,53,328,1810.24545
265,152,Premium,D,SI2,591,580,748,745,441,9296.81133
266,101,Ideal,I,I1,615,570,646,645,397,3177.78111
267,78,Ideal,G,SI2,617,540,593,597,367,2481.29903
268,3,Premium,G,VS2,616,600,428,433,265,538.47094
269,54,Premium,E,SI1,622,610,524,515,323,1405.4677
270,39,Ideal,G,VVS2,617,542,469,475,291,1115.86017
271,121,Premium,J,VS2,619,580,684,679,422,5028.16106
272,9,Ideal,I,SI1,616,550,62,622,382,3516.68415
273,32,Ideal,E,VVS1,613,570,442,445,272,947.46831
274,152,Premium,I,VS2,617,610,735,73,452,9164.85153
275,31,Premium,H,SI1,624,570,435,431,27,616.25267
276,41,Ideal,E,VVS2,615,550,479,483,296,1131.58279
277,10,Fair,I,VS2,657,580,625,62,409,3736.98979
278,36,Ideal,G,SI2,623,540,457,461,286,487.73176
279,7,Very Good,H,SI1,577,600,585,59,339,2251.5898
280,39,Ideal,D,VS1,619,570,471,469,291,975.55264
281,153,Good,E,SI1,635,580,729,735,465,11216.72092
282,54,Ideal,H,IF,603,550,529,533,32,2076.86601
283,151,Premium,J,VS2,623,590,735,731,457,8068.25822
284,28,Good,E,SI1,626,600,412,415,259,413.06726
285,101,Good,F,IF,627,590,63,642,399,11181.04488
286,121,Very Good,F,VS1,623,580,676,685,424,8923.71681
287,75,Ideal,G,SI2,625,550,582,577,362,2151.57069
288,39,Very Good,F,SI1,600,550,476,479,286,772.92781
289,53,Ideal,D,SI2,619,550,524,519,323,1230.01595
290,44,Very Good,I,VS2,625,570,485,488,304,771.98423
291,128,Premium,H,SI2,625,620,689,684,43,4922.45517
292,5,Good,F,VS2,636,580,502,505,32,1300.68501
293,138,Ideal,G,VVS1,618,560,715,712,441,12702.62825
294,31,Good,F,SI1,631,550,428,434,272,470.90627
295,121,Ideal,E,VS1,624,570,675,683,424,10679.6465
296,7,Very Good,D,SI1,623,580,569,573,356,2679.33859
297,52,Ideal,G,VS2,619,550,515,518,32,1433.87512
298,43,Ideal,E,SI1,623,570,478,482,299,876.14784
299,96,Fair,F,I1,629,660,629,607,391,2416.2639
300,164,Premium,H,SI1,593,610,768,764,454,10378.7642
301,56,Premium,H,VS1,601,580,54,535,323,1679.7135
302,73,Premium,E,SI1,596,610,592,585,351,2599.27694
303,9,Ideal,I,VS2,613,560,624,62,381,3891.74596
304,126,Premium,I,VS2,612,590,703,69,426,6179.24304
305,6,Ideal,G,VS2,611,550,546,548,334,2017.72752
306,37,Good,G,VS1,631,560,457,459,289,845.12815
307,29,Very Good,E,VS1,617,580,423,429,263,448.95394
308,42,Ideal,D,SI1,619,560,484,482,299,938.18104
309,151,Ideal,J,VS1,627,560,73,735,459,9384.24931
310,56,Very Good,G,VS2,626,580,522,532,331,1639.52898
311,10,Premium,D,SI2,608,600,645,641,391,4384.46619
312,201,Premium,I,SI1,613,600,809,805,495,14295.96168
313,51,Good,E,SI1,639,560,507,511,325,1190.76978
314,101,Ideal,G,VS2,614,580,647,644,397,6233.22782
315,138,Good,J,SI2,637,580,706,701,448,5158.03209
316,4,Very Good,D,VS2,591,570,481,487,286,982.19744
317,156,Ideal,J,SI1,618,570,744,739,458,7781.99592
318,131,Very Good,I,SI1,626,590,697,686,433,5566.5667
319,74,Ideal,H,VS1,616,550,579,583,358,2828.32787
320,51,Ideal,D,VS2,615,570,511,514,315,1606.46069
321,84,Premium,E,VS2,624,600,604,598,375,3757.13014
322,41,Premium,F,VS2,616,590,477,474,293,905.67192
323,31,Ideal,G,VS1,613,564,436,439,269,729.78154
324,32,Ideal,D,SI1,608,570,441,444,269,679.39302
325,121,Fair,J,SI2,646,590,674,664,432,3491.8402
326,31,Ideal,D,VS2,615,560,437,441,27,705.97746
327,36,Ideal,D,SI1,627,570,459,454,286,794.06541
328,7,Good,G,VVS1,585,620,58,582,34,3036.47995
329,71,Ideal,D,VS2,604,570,577,582,35,2903.66113
330,202,Ideal,I,SI1,624,560,807,811,505,14576.03517
331,7,Ideal,D,SI1,614,540,571,575,352,3006.97085
332,54,Ideal,F,VVS2,614,560,527,529,324,2015.93378
333,3,Ideal,H,VVS1,630,560,427,424,268,876.99134
334,124,Premium,D,SI1,593,600,705,701,416,8049.17493
335,9,Very Good,G,SI1,613,600,614,617,377,3858.12407
336,116,Ideal,G,SI2,619,560,673,677,418,4933.97807
337,3,Very Good,I,SI1,605,620,433,437,263,332.81233
338,31,Ideal,E,VS2,616,560,44,437,27,605.36875
339,151,Very Good,H,VS2,619,570,732,736,454,10631.71882
340,33,Ideal,G,VS1,615,560,445,448,274,736.82265
341,3,Premium,H,SI2,619,600,427,429,265,346.09289
342,33,Ideal,I,IF,617,550,445,449,276,755.91046
343,53,Premium,F,VS1,594,580,532,528,315,1538.91029
344,41,Very Good,D,SI1,629,580,47,475,297,1029.80393
345,73,Ideal,E,VS2,615,560,579,582,357,3286.57278
346,54,Ideal,G,VVS2,614,550,522,53,323,1862.53302
347,101,Good,G,SI2,636,580,631,637,403,4043.37292
348,105,Very Good,G,VS1,623,560,645,651,404,6896.102
349,71,Ideal,I,VS2,620,540,573,577,356,2341.15031
350,32,Ideal,E,SI1,618,550,445,442,274,593.49156
351,53,Ideal,D,VS2,623,560,514,517,321,1644.29897
352,10,Good,E,VS2,582,600,652,654,38,6101.07711
353,44,Ideal,E,VVS1,599,570,493,497,296,1447.86629
354,3,Very Good,F,VVS1,626,560,427,429,268,915.95721
355,153,Ideal,G,VS1,606,540,749,747,453,13740.36597
356,106,Ideal,F,VS2,611,565,657,66,403,7788.10343
357,42,Ideal,I,VS1,615,560,483,486,298,741.27811
358,31,Premium,H,IF,610,580,434,438,266,912.39184
359,203,Premium,I,VS2,605,620,822,817,496,15713.3712
360,77,Very Good,G,SI1,630,590,582,584,367,2482.30229
361,132,Very Good,H,SI1,628,560,694,70,438,6344.8272
362,67,Very Good,F,VS2,632,600,555,55,349,2214.80471
363,93,Very Good,J,VS2,633,610,619,614,39,3045.33275
364,201,Ideal,I,SI1,624,540,804,796,50,13870.94926
365,31,Good,I,VS1,639,550,428,43,274,402.34952
366,102,Premium,D,SI1,623,590,638,642,399,5707.63286
367,51,Ideal,D,VS2,627,550,512,509,32,1533.50672
368,71,Ideal,D,VS2,610,560,576,581,353,3534.13567
369,106,Very Good,E,IF,624,550,65,654,407,10810.55407
370,112,Ideal,D,VS2,620,550,663,666,412,8877.46899
371,59,Very Good,D,VVS2,606,590,544,549,331,2645.20096
372,33,Premium,F,VVS2,625,590,447,44,277,1027.17882
373,52,Ideal,F,IF,622,550,514,518,321,2273.88971
374,107,Ideal,E,VVS2,623,560,651,661,409,10123.46975
375,124,Good,G,VS1,602,630,696,699,42,8763.47606
376,7,Very Good,E,VS2,602,570,577,582,349,2927.98491
377,55,Ideal,G,VS1,609,550,527,531,322,1821.55991
378,91,Premium,H,VS2,610,590,632,627,384,3955.78811
379,121,Very Good,H,SI1,628,560,68,683,428,6538.98401
380,5,Fair,F,VS1,650,550,501,496,324,1222.90138
381,61,Ideal,F,VVS2,618,550,543,547,337,2650.92333
382,41,Ideal,D,SI1,607,550,483,486,294,951.2631
383,53,Very Good,I,VS1,610,570,522,525,319,1221.84891
384,103,Premium,E,VVS2,597,560,664,656,394,10626.91554
385,55,Ideal,D,VS1,614,570,526,529,324,1903.36181
386,106,Fair,J,SI2,610,660,654,635,393,3197.08574
387,151,Very Good,E,VS2,627,590,72,732,455,14603.59385
388,32,Ideal,D,VS2,615,560,441,444,272,770.0885
389,27,Ideal,E,VVS2,605,570,418,425,255,594.40923
390,57,Premium,E,SI1,622,550,536,531,332,1728.57312
391,93,Premium,G,SI2,608,590,635,628,384,3472.85711
392,51,Good,G,VS2,639,560,507,51,325,1375.83427
393,33,Ideal,E,VS2,610,570,443,446,271,620.16728
394,151,Ideal,G,VS1,606,570,738,748,45,13990.37215
395,153,Very Good,H,SI2,614,600,736,743,454,8145.37833
396,3,Ideal,E,VS1,608,570,436,433,264,701.03344
397,10,Ideal,E,SI1,629,560,633,638,40,5534.83902
398,74,Ideal,I,IF,621,539,579,581,36,2818.72607
399,5,Premium,G,VS1,622,590,509,504,315,1466.62151
400,71,Ideal,E,VS2,595,570,586,583,348,3155.07063
401,41,Ideal,F,VS2,617,540,479,481,296,847.46299
402,157,Premium,H,VS1,605,610,76,751,457,12668.67248
403,101,Good,F,SI1,636,580,636,628,402,4837.97912
404,9,Very Good,E,VS2,591,620,624,628,37,4653.65395
405,43,Premium,F,SI2,583,620,497,491,288,826.98416
406,32,Ideal,E,IF,626,550,441,438,275,1085.8309
407,101,Ideal,G,SI2,615,570,642,646,396,4451.77086
408,153,Premium,D,SI2,607,600,745,741,451,9538.26177
409,53,Ideal,E,VVS2,620,580,516,52,321,2105.21993
410,20,Fair,G,SI2,651,570,784,778,509,11863.22655
411,12,Very Good,D,SI2,629,590,67,675,423,5463.67927
412,61,Ideal,G,VS2,614,557,543,553,337,2015.51298
413,31,Premium,E,VS2,610,580,439,437,267,630.70173
414,101,Ideal,I,VS2,599,610,649,653,39,4206.70186
415,42,Good,F,SI1,634,560,475,478,302,717.02637
416,106,Ideal,G,SI2,610,570,656,661,402,4598.37289
417,76,Ideal,E,VS2,615,560,592,589,363,3629.40969
418,51,Ideal,H,VVS2,601,570,519,522,312,1688.24191
419,10,Good,G,VVS2,616,600,634,638,392,6973.09183
420,9,Ideal,F,SI2,624,570,623,615,386,3727.79073
421,7,Very Good,H,SI2,634,550,559,564,356,1773.49054
422,101,Ideal,E,SI1,622,570,641,635,397,5305.94667
423,72,Premium,G,SI1,606,620,581,577,351,2304.95742
424,157,Ideal,G,VS1,619,550,753,747,464,14510.424
425,7,Good,F,SI1,587,610,577,581,34,1956.45651
426,118,Ideal,I,VS1,626,550,679,673,424,5650.12502
427,9,Very Good,I,VS1,622,580,613,618,383,3716.19905
428,4,Ideal,G,VVS1,620,550,474,478,295,1226.44083
429,73,Ideal,D,SI2,624,560,574,577,359,2450.1405
430,115,Very Good,D,SI2,618,610,662,669,411,5016.55548
431,5,Ideal,D,SI2,610,570,515,512,313,1345.47288
432,71,Ideal,H,SI1,608,570,577,581,352,2652.31672
433,10,Very Good,F,VS1,621,600,633,642,396,7463.18858
434,16,Premium,J,VS1,613,590,752,749,46,9263.33009
435,204,Very Good,I,SI2,609,570,814,819,497,13882.23996
436,33,Premium,G,VVS2,606,580,45,447,272,742.68481
437,41,Ideal,G,VVS1,618,550,478,476,295,1233.44177
438,4,Ideal,F,VS2,620,590,477,471,295,898.12514
439,10,Good,D,SI1,641,570,632,629,404,4895.29701
440,32,Premium,H,VS2,614,600,441,439,27,611.617
441,62,Fair,E,SI2,582,600,57,551,326,1510.62388
442,201,Good,I,VS2,643,600,791,786,507,15449.45159
443,44,Good,E,VS2,622,620,479,485,30,930.26838
444,42,Ideal,G,SI1,629,540,481,479,302,715.8605
445,34,Very Good,H,VS2,633,560,445,439,28,546.87572
446,9,Good,E,SI2,658,600,594,597,392,3159.26957
447,7,Good,E,VS2,630,610,551,564,351,2559.90073
448,36,Ideal,G,VVS1,600,560,466,469,281,1125.53662
449,3,Ideal,D,VS2,610,550,436,433,265,756.51075
450,151,Good,G,VS1,640,570,731,72,464,11511.24513
451,124,Premium,I,SI1,629,600,68,674,426,5203.24324
452,15,Good,E,SI2,645,580,706,711,457,7135.30605
453,10,Good,G,VS2,637,590,638,633,405,5750.74085
454,32,Ideal,I,VVS2,622,545,438,442,274,604.69524
455,35,Very Good,H,VS1,608,630,457,454,277,570.18578
456,22,Ideal,I,SI2,622,560,834,829,518,12777.4789
457,34,Ideal,F,SI2,601,560,455,454,273,410.14901
458,31,Ideal,H,VS1,617,570,434,438,269,618.53806
459,31,Ideal,E,VS1,619,544,433,437,269,615.40133
